relative path                                       ,file name                                 ,file extension ,file size (bytes) ,last modified       ,checksum
web-files-small-metadata.csv                        ,web-files-small-metadata                  ,csv            ,             9069 ,2023-09-12 19:31:29 ,8b82804b255dbc9e049857ddce66aaf2
video/vlwhcssc.asx                                  ,vlwhcssc                                  ,asx            ,              356 ,2023-09-12 19:31:29 ,c4af1d1687ff8f1a2f027bb04eec471b
video/04-04-21full.asf                              ,04-04-21full                              ,asf            ,               98 ,2023-09-12 19:31:29 ,26888193625f2011edcea74b12d1b8bb
video/glmp_cig.EQ.wm.p20.t12z                       ,glmp_cig.EQ.wm.p20                        ,t12z           ,             8296 ,2023-09-12 19:31:29 ,4b176dbcf901676ab7c9cd8e739d1b3b
video/oct17cc.asx                                   ,oct17cc                                   ,asx            ,           106945 ,2023-09-12 19:31:29 ,50727117109742107c6bef3e31ff1690
pdf/01-1480.pdf                                     ,01-1480                                   ,pdf            ,            49088 ,2023-09-12 19:31:29 ,01c8ed0f4635e7974734087ffec0087d
pdf/file.pdf                                        ,file                                      ,pdf            ,             1538 ,2023-09-12 19:31:29 ,b76bb219e68469283095b12a0b6aef2c
pdf/Chapter03.pdf                                   ,Chapter03                                 ,pdf            ,            51919 ,2023-09-12 19:31:29 ,b4c4ac3b610fc0057ef57acaace0c78a
pdf/PFCHEJ.pdf                                      ,PFCHEJ                                    ,pdf            ,            10577 ,2023-09-12 19:31:29 ,fec5b4c417432aa2de0a482186f3d9d5
pdf/HR2021 commtext.pdf                             ,HR2021 commtext                           ,pdf            ,            36305 ,2023-09-12 19:31:29 ,1de98a2344bec62c650f8adb4b8f33e0
image/13080t.jpg                                    ,13080t                                    ,jpg            ,             3764 ,2023-09-12 19:31:29 ,761b75f922ba4d5336c686d64762bd9d
image/orca.via_.moc_.noaa_.jpg                      ,orca.via_.moc_.noaa_                      ,jpg            ,            82546 ,2023-09-12 19:31:29 ,8dcb7f9f0b452054e79b0d3d6736d782
image/k7989-7x.jpg                                  ,k7989-7x                                  ,jpg            ,             7864 ,2023-09-12 19:31:29 ,3999ce5979decabcb81adcb969b8249a
image/m237a2f.gif                                   ,m237a2f                                   ,gif            ,             7376 ,2023-09-12 19:31:29 ,1fe4be82b1896108055b183c384c1f07
image/1005107061.tif                                ,1005107061                                ,tif            ,           395734 ,2023-09-12 19:31:29 ,71a29e5cb072bd100d945298e78abde5
audio/11-3250JohnsonvFolinoEtAl.wma                 ,11-3250JohnsonvFolinoEtAl                 ,wma            ,         21423499 ,2023-09-12 19:31:29 ,0822287ef2af6e97ead980c771bb8f97
audio/NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3 ,NEWSLINE_802AF71F439D401585C6FCB02F358307 ,mp3            ,           961195 ,2023-09-12 19:31:29 ,ad49bb75ecd85c86d8d4a2b418ce83cf
audio/mj_telework_exchange_final_100710.mp3         ,mj_telework_exchange_final_100710         ,mp3            ,          3471488 ,2023-09-12 19:31:29 ,0253b2c7820143b28f4b1febaece205d
audio/000727.ram                                    ,000727                                    ,ram            ,               79 ,2023-09-12 19:31:29 ,807f4a33e2198c1dd629c8902c37c535
presentation/BudgetandGrants012710.ppt              ,BudgetandGrants012710                     ,ppt            ,            85504 ,2023-09-12 19:31:29 ,4080ec664a2b4b14fec1826c42ccc3a3
presentation/ADAEMPLOYMENTTaxIncentives.ppt         ,ADAEMPLOYMENTTaxIncentives                ,ppt            ,           137216 ,2023-09-12 19:31:29 ,f614356ebb35fa76d482709372237bd5
presentation/Non-FTE-Trainee-Activities-060109.ppt  ,Non-FTE-Trainee-Activities-060109         ,ppt            ,            67072 ,2023-09-12 19:31:29 ,e71a83494f2565ee5168b7dc3d4de306
